iteration,DAGWO_r0.1,DAGWO_r0.2,DAGWO_r0.3,DAGWO_r0.4,DAGWO_r0.5,GWO,DA
1,3.585714E8,3.883330666666667E8,5.405464431671755E8,2.65647E8,2.6331593333333334E8,2.5714113333333334E8,2.52694E8
2,6.370246666666666E8,2.769062E8,2.759262E8,2.71796E8,2.713361333333333E8,2.5699273333333334E8,2.4617473333333334E8
3,6.989742E8,3.728478666666667E8,3.329172666666667E8,4.416016666666667E8,2.6838413333333334E8,2.5594886666666666E8,2.4231526666666666E8
4,5.728476666666666E8,4.440299333333333E8,2.775823333333333E8,2.747092E8,2.71179E8,2.6119393333333334E8,2.3955526666666666E8
5,4.029113333333333E8,4.688102E8,2.6820086666666666E8,2.6704593333333334E8,2.661604E8,2.6189586666666666E8,2.3897233333333334E8
6,9.890044E8,3.2756530471100426E8,3.775424666666667E8,2.70532E8,3.273107333333333E8,2.5528626666666666E8,2.3747E8
7,5.3255E8,3.931236666666667E8,2.738822E8,2.767308666666667E8,2.6415433333333334E8,2.5695913333333334E8,2.3581533333333334E8
8,5.994058770334662E8,4.776618666666667E8,3.200687333333333E8,3.297438666666667E8,3.278896666666667E8,2.5443646666666666E8,2.3470506666666666E8
9,6.325923333333334E8,3.289574E8,2.820138666666667E8,2.724034666666667E8,2.6516186666666666E8,2.587004E8,2.3237193333333334E8
10,4.641898E8,5.956157333333334E8,3.363543333333333E8,3.235161333333333E8,2.67217E8,2.5954653333333334E8,2.3205806666666666E8
11,9.513086666666666E8,4.468362405871372E8,2.755758666666667E8,2.752686E8,2.745786E8,2.569052E8,2.309176E8
12,5.222490666666667E8,5.006766E8,2.739607333333333E8,2.770556666666667E8,2.691902E8,2.573784E8,2.299498E8
13,5.348030666666667E8,3.347382666666667E8,3.9533867442648405E8,3.380349333333333E8,2.6655606666666666E8,2.5487693333333334E8,2.299498E8
14,4.908274666666667E8,3.511063333333333E8,2.771018E8,3.235826E8,2.6532086666666666E8,2.5786873333333334E8,2.2948346666666666E8
15,3.862965333333333E8,2.805959333333333E8,2.844053333333333E8,2.729298E8,2.715874E8,2.5737833333333334E8,2.2909633333333334E8
16,7.213227824742153E8,3.771522666666667E8,2.747232666666667E8,2.763424E8,2.68965E8,2.5807446666666666E8,2.2909633333333334E8
17,7.628054666666666E8,2.817714666666667E8,3.268264666666667E8,2.807798E8,2.796730666666667E8,2.6278593333333334E8,2.2852953333333334E8
18,6.576576E8,3.974465333333333E8,5.145284E8,2.6598433333333334E8,2.6695033333333334E8,2.5497633333333334E8,2.28134E8
19,6.249804666666666E8,3.426198E8,3.340796666666667E8,2.719926666666667E8,2.6819793333333334E8,2.576316E8,2.2798893333333334E8
20,5.806401237173427E8,3.977926666666667E8,3.129785333333333E8,2.698362666666667E8,2.666214E8,2.58278E8,2.2757113333333334E8
21,8.037830666666666E8,2.752702E8,3.559138E8,2.727304E8,2.703167333333333E8,2.5684686666666666E8,2.27468E8
22,4.835425333333333E8,3.913230666666667E8,3.694378E8,3.259560666666667E8,2.6635353333333334E8,2.5527913333333334E8,2.2610666666666666E8
23,6.183204782331916E8,4.941879675188496E8,2.754613333333333E8,3.236948834143851E8,2.5820946666666666E8,2.5869113333333334E8,2.257962E8
24,4.281633333333333E8,4.303986732086661E8,2.769889333333333E8,2.714292666666667E8,2.6707413333333334E8,2.5256666666666666E8,2.2505273333333334E8
25,3.785867333333333E8,3.848236E8,3.45464E8,2.747802E8,2.6428446666666666E8,2.5941333333333334E8,2.2505273333333334E8
26,4.042319333333333E8,4.604026666666667E8,3.348327333333333E8,3.166908E8,2.696905333333333E8,2.6058406666666666E8,2.2498433333333334E8
27,4.732212666666667E8,3.261326E8,2.764118666666667E8,2.68322E8,2.706332666666667E8,2.5857633333333334E8,2.2484513333333334E8
28,4.62388E8,3.924801333333333E8,2.751837333333333E8,2.761296666666667E8,2.705470666666667E8,2.5828346666666666E8,2.2484513333333334E8
29,5.246289333333333E8,4.402331333333333E8,2.767925333333333E8,2.70145E8,2.6836286666666666E8,2.5504513333333334E8,2.2475886666666666E8
30,6.713154E8,6.035325333333334E8,3.259226666666667E8,2.7655E8,2.706892666666667E8,2.6451046666666666E8,2.2475886666666666E8
31,3.646686666666667E8,4.5255189876709425E8,2.799824666666667E8,2.728424E8,2.70884E8,2.5567566666666666E8,2.2455613333333334E8
32,5.725492E8,2.803418666666667E8,2.715354666666667E8,2.6684186666666666E8,2.691532666666667E8,2.5693926666666666E8,2.2455613333333334E8
33,7.685988E8,4.024597054016512E8,2.706742E8,2.704606666666667E8,2.66889E8,2.564538E8,2.2455613333333334E8
34,4.588754666666667E8,4.515504556050106E8,3.695828666666667E8,3.287587333333333E8,2.736576E8,2.5409033333333334E8,2.2339886666666666E8
35,4.758426666666667E8,3.960088666666667E8,2.758377333333333E8,2.727442666666667E8,2.716766666666667E8,2.5387553333333334E8,2.2274433333333334E8
36,4.074594666666667E8,3.091542E8,2.760842666666667E8,2.693128666666667E8,2.703264666666667E8,2.60603E8,2.226542E8
37,5.68125766086845E8,3.179369333333333E8,3.395254E8,2.712198E8,2.689554E8,2.5664926666666666E8,2.226542E8
38,6.308597497833794E8,4.665944E8,3.323626666666667E8,2.72907E8,2.6664146666666666E8,2.6088966666666666E8,2.226542E8
39,7.246619333333334E8,3.401436E8,2.692128666666667E8,2.688746666666667E8,2.715606666666667E8,2.5655053333333334E8,2.226542E8
40,5.150304173008462E8,3.821818E8,3.277377333333333E8,2.730606E8,2.686575333333333E8,2.5814106666666666E8,2.226542E8
41,4.829427333333333E8,4.357364666666667E8,2.695970666666667E8,2.77223E8,2.686676E8,2.56642E8,2.226542E8
42,6.276156E8,2.829211333333333E8,3.26399E8,3.199468E8,2.6501766666666666E8,2.584054E8,2.226542E8
43,4.320958666666667E8,4.284453333333333E8,3.519574666666667E8,2.715311333333333E8,2.6746766666666666E8,2.5768653333333334E8,2.226542E8
44,4.865618E8,3.7397422649055344E8,2.776156E8,2.739939333333333E8,2.671334E8,2.5371253333333334E8,2.226542E8
45,5.250894E8,4.004182E8,2.739548666666667E8,2.697871333333333E8,2.6607026666666666E8,2.6087333333333334E8,2.226542E8
46,5.776870666666666E8,4.062216E8,2.751319333333333E8,3.274720666666667E8,2.700164E8,2.5890206666666666E8,2.226542E8
47,4.681508666666667E8,4.010885996448466E8,2.753682666666667E8,2.6704306666666666E8,2.659748E8,2.565356E8,2.226542E8
48,3.168321333333333E8,4.525882666666667E8,3.3961903190733963E8,2.69411E8,2.698130666666667E8,2.558194E8,2.226542E8
49,6.211646E8,3.35435E8,2.786342666666667E8,2.756118E8,2.6691466666666666E8,2.586678E8,2.226542E8
50,4.9569850221270216E8,3.595700666666667E8,3.357036E8,2.713420666666667E8,2.699226E8,2.6018473333333334E8,2.226542E8
51,4.770117333333333E8,3.211994666666667E8,3.165255333333333E8,2.702634666666667E8,2.6787626666666666E8,2.5457926666666666E8,2.226542E8
52,3.840472E8,2.795113333333333E8,3.410051333333333E8,2.651126E8,3.007048E8,2.5672713333333334E8,2.226542E8
53,2.783114666666667E8,4.286077333333333E8,2.750528E8,2.673892E8,2.67127E8,2.573478E8,2.226542E8
54,3.799529333333333E8,2.813722E8,2.752829333333333E8,3.069241333333333E8,2.6237893333333334E8,2.6211433333333334E8,2.226542E8
55,5.605091333333334E8,2.780422666666667E8,3.134546174285324E8,2.722292666666667E8,2.6421966666666666E8,2.5780913333333334E8,2.226542E8
56,3.341522666666667E8,2.767098E8,3.797830666666667E8,2.701248666666667E8,2.6202686666666666E8,2.6591266666666666E8,2.226542E8
57,4.275306666666667E8,2.754876E8,3.152482666666667E8,2.6524566666666666E8,2.6657246666666666E8,2.592344E8,2.226542E8
58,3.700515333333333E8,3.283287333333333E8,2.674436E8,2.6614593333333334E8,2.706704E8,2.5992313333333334E8,2.226542E8
59,2.779158E8,2.705481333333333E8,2.672788E8,2.6697606666666666E8,2.6266466666666666E8,2.588462E8,2.226542E8
60,3.864077640993411E8,3.323128666666667E8,2.6452606666666666E8,2.6521866666666666E8,2.6122386666666666E8,2.6013606666666666E8,2.226542E8
61,4.449154E8,2.700583333333333E8,2.6663233333333334E8,2.6421126666666666E8,2.611146E8,2.5940606666666666E8,2.226542E8
62,2.783462E8,3.275456666666667E8,2.648766E8,2.6383773333333334E8,2.575314E8,2.5524406666666666E8,2.226542E8
