iteration,DAGWO_r0.1,DAGWO_r0.2,DAGWO_r0.3,DAGWO_r0.4,DAGWO_r0.5,GWO,DA
1,5.106523333333333E8,3.04655E8,1.7008866666666666E8,2.1120906666666666E8,1.701216E8,1.6625793333333334E8,1.5214946666666666E8
2,2.883009333333333E8,4.634976E8,3.326196E8,2.2839826666666666E8,1.670144E8,1.665394E8,1.5136046666666666E8
3,4.6586241663844556E8,4.602562666666667E8,1.7314966666666666E8,2.1721206666666666E8,1.6767086666666666E8,1.6652893333333334E8,1.512206E8
4,5.1206536833479124E8,3.2032089409333825E8,1.798652E8,1.7361973333333334E8,2.2888466666666666E8,1.6094466666666666E8,1.5040933333333334E8
5,6.38344045386662E8,2.8038E8,2.1780733333333334E8,2.241944E8,1.7325793333333334E8,1.6452833333333334E8,1.4849246666666666E8
6,8.214072E8,2.773008666666667E8,1.784768E8,1.719424E8,1.6979333333333334E8,1.647696E8,1.4672213333333334E8
7,4.934322E8,3.316121333333333E8,4.328693333333333E8,1.718784E8,1.772654E8,1.6471913333333334E8,1.464424E8
8,8.903184574786165E8,1.8004133333333334E8,1.7738146666666666E8,1.749358E8,1.7528846666666666E8,1.6144253333333334E8,1.4450106666666666E8
9,7.048414161513058E8,1.7731733333333334E8,1.7619966666666666E8,2.1560693333333334E8,1.7785646666666666E8,1.636756E8,1.4440473333333334E8
10,4.625386E8,3.473510666666667E8,1.77153E8,1.7504186666666666E8,1.7348386666666666E8,1.6634753333333334E8,1.428902E8
11,9.809117900595534E8,3.745612E8,2.3788986666666666E8,1.7841466666666666E8,1.683458E8,1.641804E8,1.4271306666666666E8
12,7.140686666666666E8,3.094906E8,3.344730666666667E8,1.7387393333333334E8,2.1402386666666666E8,1.635678E8,1.424114E8
13,6.019966666666666E8,2.837646666666667E8,1.7518386666666666E8,2.2454193333333334E8,1.7169206666666666E8,1.655938E8,1.424114E8
14,3.820488221275536E8,3.48719E8,2.1639026666666666E8,1.744558E8,1.721246E8,1.617926E8,1.4240113333333334E8
15,5.371674666666666E8,4.352382666666667E8,2.2453733333333334E8,1.6929353333333334E8,1.7473486666666666E8,1.6380433333333334E8,1.4190386666666666E8
16,6.8210672629188E8,2.915922E8,1.791004E8,1.705206E8,1.772146E8,1.6139726666666666E8,1.4186906666666666E8
17,8.762264666666666E8,4.195679277836121E8,1.780202E8,1.7456626666666666E8,1.75287E8,1.632746E8,1.4186906666666666E8
18,6.283369799580346E8,3.685372666666667E8,2.1784473333333334E8,2.1959146666666666E8,1.7109486666666666E8,1.6305053333333334E8,1.4165113333333334E8
19,3.128822E8,4.727332E8,2.4810366666666666E8,1.722872E8,2.2907306666666666E8,1.618998E8,1.4099086666666666E8
20,6.409918E8,4.054834666666667E8,2.155346E8,1.7433573333333334E8,1.714262E8,1.6256686666666666E8,1.406892E8
21,5.553635562819812E8,2.5019126666666666E8,1.786314E8,1.7570126666666666E8,2.369998E8,1.61593E8,1.3954053333333334E8
22,7.962776E8,1.8009633333333334E8,2.2727486666666666E8,1.767326E8,1.7015206666666666E8,1.6695546666666666E8,1.3954053333333334E8
23,5.455213286410216E8,4.131476666666667E8,2.921432666666667E8,2.1313346666666666E8,1.6997446666666666E8,1.6499946666666666E8,1.3948646666666666E8
24,6.114974666666666E8,2.7339E8,2.2948913333333334E8,1.768644E8,2.752058E8,1.6222753333333334E8,1.391304E8
25,4.402049333333333E8,1.8037366666666666E8,2.492844E8,2.4081506666666666E8,1.7306773333333334E8,1.6557033333333334E8,1.391304E8
26,5.216940666666667E8,3.177553333333333E8,1.7809966666666666E8,2.989453194918881E8,1.7273773333333334E8,1.662886E8,1.391304E8
27,5.0630946528919494E8,3.307331333333333E8,2.732357333333333E8,1.750264E8,1.7507006666666666E8,1.619626E8,1.391304E8
28,4.544794708820824E8,3.151254E8,2.6651733333333334E8,2.1784693333333334E8,1.6958646666666666E8,1.6455953333333334E8,1.391304E8
29,4.142733311002637E8,1.8020553333333334E8,2.328588E8,1.74988E8,1.7181513333333334E8,1.6591966666666666E8,1.389034E8
30,4.335586E8,2.697705333333333E8,2.3083313333333334E8,1.7265973333333334E8,1.7085073333333334E8,1.6419046666666666E8,1.3860173333333334E8
31,4.239126E8,3.314871333333333E8,2.311386E8,1.7447786666666666E8,1.7063853333333334E8,1.6419586666666666E8,1.3859273333333334E8
32,5.660237666115206E8,3.261655333333333E8,1.775702E8,1.7534126666666666E8,1.692036E8,1.640704E8,1.3859273333333334E8
33,4.547044E8,2.431824E8,2.356052E8,1.7670386666666666E8,1.7157073333333334E8,1.643594E8,1.3859273333333334E8
34,5.003817333333333E8,2.2664193333333334E8,1.830046E8,1.7105766666666666E8,1.7269533333333334E8,1.6501893333333334E8,1.3840426666666666E8
35,5.077754666666667E8,4.057894406581286E8,2.264378E8,2.2371313333333334E8,1.7062473333333334E8,1.6120566666666666E8,1.3840426666666666E8
36,5.587004757741548E8,4.9758959067125034E8,1.7751693333333334E8,2.1244213333333334E8,2.1780293333333334E8,1.6446913333333334E8,1.3840426666666666E8
37,4.184591333333333E8,2.2123993333333334E8,1.7743833333333334E8,1.750534E8,1.725196E8,1.6394633333333334E8,1.3840426666666666E8
38,4.495246666666667E8,4.688619437395366E8,3.334180666666667E8,1.7178306666666666E8,1.7381866666666666E8,1.634094E8,1.3840426666666666E8
39,3.577966E8,3.987499333333333E8,2.44939E8,1.7246273333333334E8,1.716886E8,1.619088E8,1.3764846666666666E8
40,6.061744E8,2.738508666666667E8,1.7729246666666666E8,2.2106746666666666E8,1.7285933333333334E8,1.6575266666666666E8,1.3764846666666666E8
41,8.09562897887412E8,2.892498E8,1.7787826666666666E8,1.778776E8,1.723328E8,1.6131553333333334E8,1.3764846666666666E8
42,3.269824E8,2.840217333333333E8,1.8007353333333334E8,1.758728E8,1.7162753333333334E8,1.6398666666666666E8,1.3764846666666666E8
43,2.5121006666666666E8,2.826332666666667E8,2.777611333333333E8,2.908763333333333E8,1.7144373333333334E8,1.6097806666666666E8,1.3764846666666666E8
44,3.624674E8,3.780896666666667E8,1.792394E8,1.7656273333333334E8,1.7217693333333334E8,1.6212153333333334E8,1.37355E8
45,4.313070666666667E8,1.793228E8,1.7924966666666666E8,2.1188766666666666E8,1.7123386666666666E8,1.6211513333333334E8,1.37355E8
46,5.060426E8,1.736226E8,2.658442565979603E8,1.674278E8,2.071844E8,1.626836E8,1.37355E8
47,4.512904666666667E8,3.112498666666667E8,1.705728E8,1.694672E8,1.6692366666666666E8,1.5964926666666666E8,1.37355E8
48,4.320944397418777E8,3.372788057809958E8,2.63757E8,1.68873E8,1.713638E8,1.623416E8,1.37355E8
49,4.779500223628275E8,3.642118666666667E8,2.2107046666666666E8,1.725802E8,1.6520526666666666E8,1.6188546666666666E8,1.37355E8
50,2.2758913333333334E8,1.748382E8,1.7504946666666666E8,1.7317066666666666E8,1.697996E8,1.6174193333333334E8,1.37355E8
51,2.877642666666667E8,1.765102E8,2.863023934073695E8,1.6851713333333334E8,1.659826E8,1.6485233333333334E8,1.37355E8
52,3.380402E8,1.7262146666666666E8,2.1248533333333334E8,1.694016E8,1.6579766666666666E8,1.6486446666666666E8,1.37355E8
53,3.649485333333333E8,2.2238269595738524E8,2.1806393333333334E8,1.7218213333333334E8,1.6518646666666666E8,1.6532726666666666E8,1.37355E8
54,3.440228E8,3.406613333333333E8,1.7222533333333334E8,1.6933673333333334E8,1.6755686666666666E8,1.6263833333333334E8,1.37355E8
55,3.190107333333333E8,2.819436602576659E8,1.688348E8,1.6886473333333334E8,1.672616E8,1.6269973333333334E8,1.37355E8
56,1.7728386666666666E8,2.851035910076892E8,2.261746E8,2.1697143457492587E8,1.6690153333333334E8,1.6257313333333334E8,1.37355E8
57,3.216253859508792E8,2.341056E8,2.1061133333333334E8,1.631536E8,1.6993453333333334E8,1.6398966666666666E8,1.37355E8
58,4.113872666666667E8,2.3476633333333334E8,1.764618E8,1.694374E8,1.6160826666666666E8,1.632502E8,1.3713946666666666E8
59,2.354796E8,2.6333146666666666E8,2.1846986666666666E8,1.666754E8,1.6098113333333334E8,1.6283553333333334E8,1.3713946666666666E8
60,3.255664E8,2.089526E8,1.6979086666666666E8,1.675972E8,1.6616513333333334E8,1.6329113333333334E8,1.3713946666666666E8
61,2.371762586808122E8,2.3823326666666666E8,1.653728E8,1.6879566666666666E8,1.633274E8,1.59587E8,1.3713946666666666E8
62,2.3238126666666666E8,1.748694E8,1.632466E8,1.6457926666666666E8,1.6358513333333334E8,1.6211046666666666E8,1.3713946666666666E8
63,3.052775276367859E8,2.733939333333333E8,1.6770213333333334E8,1.606822E8,1.6358366666666666E8,1.6218586666666666E8,1.3713946666666666E8
64,2.3344086666666666E8,1.6878506666666666E8,1.667676E8,1.6416066666666666E8,1.6614113333333334E8,1.6381966666666666E8,1.3713946666666666E8
65,3.383641333333333E8,3.141438666666667E8,1.6579826666666666E8,1.643198E8,1.6430393333333334E8,1.6197306666666666E8,1.3713946666666666E8
66,3.357459840299787E8,1.6651813333333334E8,1.6506626666666666E8,2.1597886666666666E8,1.6048173333333334E8,1.6245E8,1.3713946666666666E8
67,4.454257093953647E8,1.682782E8,2.2744146666666666E8,1.6266653333333334E8,1.645924E8,1.6306093333333334E8,1.3713946666666666E8
68,3.904908E8,3.668423333333333E8,1.7558673333333334E8,1.5886686666666666E8,1.6701793333333334E8,1.6173486666666666E8,1.3713946666666666E8
69,2.2533026666666666E8,2.4083826666666666E8,1.6630493333333334E8,2.111942E8,1.6113753333333334E8,1.6494126666666666E8,1.3713946666666666E8
70,2.928129333333333E8,2.1729126666666666E8,1.6172306666666666E8,1.6081493333333334E8,1.6103206666666666E8,1.6218786666666666E8,1.3713946666666666E8
