iteration,DAGWO_r0.1,DAGWO_r0.2,DAGWO_r0.3,DAGWO_r0.4,DAGWO_r0.5,GWO,DA
1,8.504666666666667E7,2.5193166666666666E8,8.208333333333333E7,8.097E7,8.143E7,7.217833333333333E7,7.287E7
2,2.4498833333333334E8,1.4172E8,8.169666666666667E7,1.4174833333333334E8,8.2185E7,7.569333333333333E7,7.1265E7
3,5.2511E8,2.5490666666666666E8,1.3507274314303505E8,7.988E7,8.096333333333333E7,7.673166666666667E7,7.042E7
4,3.8731E8,8.721166666666667E7,1.35235E8,8.234833333333333E7,7.970333333333333E7,7.784833333333333E7,6.890333333333333E7
5,2.26215E8,1.9528666666666666E8,8.241166666666667E7,1.4325333333333334E8,8.194166666666667E7,7.544833333333333E7,6.874166666666667E7
6,4.730993417163058E8,2.6823333333333334E8,1.3482166666666666E8,8.043333333333333E7,7.931166666666667E7,7.5965E7,6.8505E7
7,4.870983333333333E8,1.992274813003684E8,8.248166666666667E7,1.3008666666666667E8,7.918833333333333E7,7.505833333333333E7,6.826666666666667E7
8,4.73225E8,2.5755833333333334E8,2.2983E8,8.117333333333333E7,1.3238666666666667E8,7.379E7,6.8205E7
9,4.665716666666667E8,1.4510666666666666E8,8.367666666666667E7,8.078E7,8.039833333333333E7,7.394166666666667E7,6.8205E7
10,2.8278E8,1.3485166666666666E8,1.3311166666666667E8,8.325666666666667E7,8.084166666666667E7,7.440333333333333E7,6.8155E7
11,5.385483333333334E8,2.5662333333333334E8,8.4935E7,8.171166666666667E7,7.998E7,7.407666666666667E7,6.751833333333333E7
12,5.76485E8,1.9712166666666666E8,8.4555E7,8.235833333333333E7,7.934666666666667E7,7.261E7,6.725166666666667E7
13,7.156834384777858E8,1.8676666666666666E8,8.188E7,8.136833333333333E7,7.874666666666667E7,7.502166666666667E7,6.6875E7
14,4.557738444467191E8,2.8749E8,8.357166666666667E7,1.4171833333333334E8,7.9665E7,7.627833333333333E7,6.6843333333333336E7
15,5.2586839084099525E8,1.4518333333333334E8,8.281666666666667E7,8.068166666666667E7,7.9125E7,7.5225E7,6.6843333333333336E7
16,3.985118941173323E8,1.4483833333333334E8,1.3457333333333334E8,8.235833333333333E7,8.155666666666667E7,7.54E7,6.6625E7
17,3.48875E8,1.8578E8,8.463166666666667E7,8.257333333333333E7,7.937166666666667E7,7.817666666666667E7,6.6625E7
18,4.713583333333333E8,1.46825E8,8.4275E7,8.113833333333333E7,8.031333333333333E7,7.464333333333333E7,6.6593333333333336E7
19,5.4208E8,2.751066666666667E8,2.671728755585869E8,8.378166666666667E7,1.2932333333333333E8,7.573333333333333E7,6.6593333333333336E7
20,5.3053588889642894E8,1.9279E8,1.374181894143151E8,8.238666666666667E7,1.2926833333333333E8,7.641E7,6.629E7
21,3.40455E8,2.695783716933272E8,1.3282666666666667E8,8.295666666666667E7,8.079833333333333E7,7.518E7,6.6036666666666664E7
22,3.49702001277516E8,3.1224096325430024E8,8.092166666666667E7,8.094833333333333E7,8.177333333333333E7,7.531166666666667E7,6.6036666666666664E7
23,3.569316666666667E8,1.9745816748438427E8,8.228833333333333E7,8.224166666666667E7,7.891666666666667E7,7.710833333333333E7,6.5846666666666664E7
24,3.368209991808169E8,1.4481166666666666E8,1.3398833333333333E8,8.172E7,8.090666666666667E7,7.706E7,6.5846666666666664E7
25,4.3760153522650707E8,1.4650833333333334E8,8.4345E7,8.101666666666667E7,7.869333333333333E7,7.769E7,6.5846666666666664E7
26,4.273816666666667E8,2.4608E8,2.0645E8,8.2E7,8.005166666666667E7,7.402333333333333E7,6.5846666666666664E7
27,5.845544392957903E8,2.0863666666666666E8,1.3225166666666667E8,8.424166666666667E7,1.4025E8,7.5515E7,6.556E7
28,3.304254299895716E8,1.6749666666666666E8,8.329666666666667E7,8.224666666666667E7,7.681666666666667E7,7.631E7,6.556E7
29,2.6041666666666666E8,1.3599833333333334E8,8.291666666666667E7,8.308166666666667E7,7.566166666666667E7,7.4765E7,6.556E7
30,3.421966666666667E8,2.08445E8,8.402666666666667E7,8.3265E7,7.938833333333333E7,7.405333333333333E7,6.556E7
31,2.873016666666667E8,2.5410333333333334E8,1.5279333333333334E8,8.209166666666667E7,7.93E7,7.493666666666667E7,6.556E7
32,3.786783333333333E8,1.5464333333333334E8,8.467166666666667E7,7.995E7,7.957833333333333E7,7.414166666666667E7,6.556E7
33,4.297853440184728E8,1.6499166666666666E8,8.331E7,7.968833333333333E7,7.987833333333333E7,7.5275E7,6.556E7
34,4.5059E8,8.229333333333333E7,1.4463166666666666E8,8.063666666666667E7,8.125666666666667E7,7.477333333333333E7,6.5288333333333336E7
35,2.3788666666666666E8,1.9497333333333334E8,8.2005E7,1.3105E8,7.671166666666667E7,7.282833333333333E7,6.5288333333333336E7
36,3.16245E8,1.357848770980677E8,8.1885E7,7.879833333333333E7,7.734666666666667E7,7.323166666666667E7,6.5016666666666664E7
37,3.768116666666667E8,2.1393166666666666E8,1.3370666666666667E8,8.008333333333333E7,7.803666666666667E7,7.507333333333333E7,6.4828333333333336E7
38,4.261666666666667E8,8.222166666666667E7,7.994666666666667E7,7.8745E7,7.610666666666667E7,7.348333333333333E7,6.4828333333333336E7
39,1.9824E8,1.35185E8,1.4927166666666666E8,8.075833333333333E7,7.764E7,7.5555E7,6.4828333333333336E7
40,2.0663833333333334E8,1.3239E8,8.3005E7,8.0245E7,7.832333333333333E7,7.537333333333333E7,6.4828333333333336E7
41,2.686983333333333E8,2.619289137272791E8,8.3035E7,7.8815E7,7.9945E7,7.355E7,6.4828333333333336E7
42,3.359966666666667E8,1.41455E8,7.755166666666667E7,7.873333333333333E7,7.7035E7,7.450666666666667E7,6.4828333333333336E7
43,4.0681E8,2.170612935914806E8,1.3971166666666666E8,7.984666666666667E7,7.890833333333333E7,7.537E7,6.4828333333333336E7
44,2.6502666666666666E8,1.3201E8,1.2985666666666667E8,7.7055E7,7.715333333333333E7,7.329166666666667E7,6.4575E7
45,3.3392E8,8.1765E7,7.798333333333333E7,7.950166666666667E7,7.8915E7,7.468666666666667E7,6.4575E7
46,1.9521E8,1.3733666666666666E8,1.4018666666666666E8,1.26995E8,7.736666666666667E7,7.6285E7,6.4575E7
47,2.5986166666666666E8,1.4120333333333334E8,7.812333333333333E7,1.8872833333333334E8,7.6895E7,7.51E7,6.4575E7
48,1.31265E8,2.1092666666666666E8,1.2842833333333333E8,7.844333333333333E7,7.763E7,7.813833333333333E7,6.4575E7
49,1.8926666666666666E8,7.776333333333333E7,7.8965E7,7.633333333333333E7,7.4095E7,7.601166666666667E7,6.4575E7
50,2.6652E8,1.2870666666666667E8,7.79E7,7.783833333333333E7,7.517833333333333E7,7.418833333333333E7,6.4575E7
51,2.1177166666666666E8,8.064166666666667E7,2.5953E8,7.939666666666667E7,7.631833333333333E7,7.539666666666667E7,6.4575E7
52,3.727533333333333E8,1.7903E8,7.755166666666667E7,7.4515E7,7.659166666666667E7,7.419666666666667E7,6.4575E7
53,2.71585E8,7.7135E7,7.7255E7,7.340333333333333E7,7.480166666666667E7,7.546666666666667E7,6.4575E7
54,1.3555166666666666E8,7.9735E7,7.9715E7,7.4E7,7.427333333333333E7,7.495166666666667E7,6.4575E7
55,1.9355E8,7.957166666666667E7,1.2892E8,7.5425E7,7.318833333333333E7,7.355E7,6.4575E7
56,2.0465833333333334E8,1.2862833333333333E8,7.593166666666667E7,7.361333333333333E7,7.967833333333333E7,7.451833333333333E7,6.4575E7
57,1.9062333333333334E8,7.863E7,7.728666666666667E7,7.601E7,7.671E7,7.3525E7,6.4493333333333336E7
58,2.2920333333333334E8,7.483833333333333E7,7.560666666666667E7,7.505333333333333E7,7.400666666666667E7,7.390333333333333E7,6.4493333333333336E7
59,2.891883333333333E8,1.4661E8,2.0445333333333334E8,7.268E7,7.620833333333333E7,7.3695E7,6.4493333333333336E7
60,1.76605E8,7.5345E7,1.2510166666666667E8,7.528E7,7.651666666666667E7,7.4485E7,6.4493333333333336E7
61,1.5765833333333334E8,7.402333333333333E7,7.4345E7,7.262166666666667E7,7.481166666666667E7,7.562333333333333E7,6.4493333333333336E7
62,1.5525666666666666E8,7.856E7,7.7395E7,7.134833333333333E7,7.372666666666667E7,7.538833333333333E7,6.4493333333333336E7
63,7.612833333333333E7,7.4385E7,7.407E7,7.246E7,7.3565E7,7.345E7,6.4493333333333336E7
64,1.9647833333333334E8,7.353833333333333E7,7.865E7,7.132666666666667E7,7.328833333333333E7,7.196666666666667E7,6.4493333333333336E7
65,1.8257333333333334E8,1.25285E8,7.502166666666667E7,7.453833333333333E7,7.383333333333333E7,7.3825E7,6.4493333333333336E7
66,1.9444833333333334E8,7.534166666666667E7,7.9765E7,7.703E7,7.371E7,7.2725E7,6.4493333333333336E7
67,7.982333333333333E7,7.414666666666667E7,7.4985E7,7.417333333333333E7,6.837166666666667E7,7.270333333333333E7,6.4493333333333336E7
68,1.2878833333333333E8,7.644E7,7.4595E7,7.318E7,7.3115E7,7.425833333333333E7,6.4493333333333336E7
69,1.9433666666666666E8,7.1855E7,7.274166666666667E7,7.197166666666667E7,7.598E7,7.2825E7,6.4493333333333336E7
70,1.9847333333333334E8,7.085333333333333E7,7.321833333333333E7,7.2835E7,7.4515E7,7.402833333333333E7,6.4493333333333336E7
71,2.821131744685243E8,7.780666666666667E7,7.4515E7,7.012166666666667E7,7.304166666666667E7,7.351166666666667E7,6.4493333333333336E7
72,7.868E7,1.2718166666666667E8,7.518833333333333E7,7.228666666666667E7,7.233333333333333E7,7.2975E7,6.4493333333333336E7
73,7.035166666666667E7,7.5205E7,7.143333333333333E7,7.159166666666667E7,7.148833333333333E7,7.522166666666667E7,6.4493333333333336E7
74,1.99675E8,1.3169E8,7.179E7,7.2545E7,7.0955E7,7.439833333333333E7,6.4493333333333336E7
75,1.2101833333333333E8,7.355166666666667E7,7.177166666666667E7,7.2005E7,6.888333333333333E7,7.487666666666667E7,6.4493333333333336E7
76,6.6861666666666664E7,7.367666666666667E7,6.987E7,7.268166666666667E7,7.093666666666667E7,7.566333333333333E7,6.4493333333333336E7
77,1.4242E8,7.458E7,6.913333333333333E7,6.811666666666667E7,7.275E7,7.452166666666667E7,6.4493333333333336E7
78,6.7025E7,7.3065E7,6.935833333333333E7,6.788833333333333E7,7.2575E7,7.452666666666667E7,6.4493333333333336E7
79,1.2118E8,1.30605E8,7.209333333333333E7,6.890333333333333E7,7.123666666666667E7,7.172666666666667E7,6.4493333333333336E7
80,2.3832833333333334E8,7.352E7,6.9155E7,6.998833333333333E7,7.053166666666667E7,7.290833333333333E7,6.4493333333333336E7
81,6.714333333333333E7,6.769833333333333E7,6.978333333333333E7,6.901833333333333E7,6.838833333333333E7,7.344833333333333E7,6.4493333333333336E7
82,6.4886666666666664E7,1.3247E8,6.924E7,6.858333333333333E7,6.8735E7,7.387333333333333E7,6.4493333333333336E7
83,6.408E7,7.055166666666667E7,6.7515E7,6.935666666666667E7,6.907166666666667E7,7.4265E7,6.4493333333333336E7
84,6.5971666666666664E7,1.19055E8,7.013166666666667E7,6.9815E7,6.819833333333333E7,7.179833333333333E7,6.4493333333333336E7
85,1.8709E8,7.0515E7,6.822666666666667E7,7.2465E7,6.914666666666667E7,7.181E7,6.4493333333333336E7
86,1.3054333333333333E8,1.4647666666666666E8,1.1953333333333333E8,6.6916666666666664E7,6.810666666666667E7,7.353666666666667E7,6.4493333333333336E7
87,1.7484666666666666E8,6.6768333333333336E7,6.724833333333333E7,6.824166666666667E7,6.731E7,7.208166666666667E7,6.4493333333333336E7
88,6.2451666666666664E7,6.5921666666666664E7,6.864166666666667E7,6.715666666666667E7,6.5808333333333336E7,7.3675E7,6.4493333333333336E7
89,6.2403333333333336E7,6.5755E7,6.831666666666667E7,6.722333333333333E7,7.077E7,7.134666666666667E7,6.4493333333333336E7
90,1.23485E8,6.882833333333333E7,6.7895E7,6.3828333333333336E7,6.6813333333333336E7,7.388833333333333E7,6.4493333333333336E7
91,6.3065E7,1.28965E8,6.811833333333333E7,6.720666666666667E7,6.858E7,7.371666666666667E7,6.4493333333333336E7
92,6.245E7,6.491E7,6.5425E7,6.3553333333333336E7,6.873833333333333E7,7.334333333333333E7,6.4493333333333336E7
93,1.4280166666666666E8,6.825666666666667E7,6.5035E7,6.5746666666666664E7,6.68E7,7.212E7,6.4493333333333336E7
94,6.1265E7,1.3485166666666666E8,6.5891666666666664E7,6.747E7,6.6601666666666664E7,7.312E7,6.4493333333333336E7
95,6.3046666666666664E7,6.21E7,6.558E7,6.3743333333333336E7,6.5646666666666664E7,7.426333333333333E7,6.4493333333333336E7
96,6.1226666666666664E7,6.3466666666666664E7,1.547833208905735E8,6.6843333333333336E7,6.751E7,7.068666666666667E7,6.4493333333333336E7
97,1.1586333333333333E8,6.2988333333333336E7,6.6483333333333336E7,6.5116666666666664E7,6.6108333333333336E7,7.364E7,6.4493333333333336E7
98,6.4313333333333336E7,6.2416666666666664E7,6.800666666666667E7,6.8895E7,6.5563333333333336E7,7.179333333333333E7,6.4493333333333336E7
99,1.3186E8,6.5046666666666664E7,6.4385E7,6.6323333333333336E7,6.1175E7,7.130666666666667E7,6.4493333333333336E7
100,6.119E7,6.4721666666666664E7,6.4661666666666664E7,6.5278333333333336E7,6.6855E7,7.069666666666667E7,6.4493333333333336E7
101,6.0366666666666664E7,6.3998333333333336E7,6.636E7,6.4333333333333336E7,6.4886666666666664E7,7.265666666666667E7,6.4206666666666664E7
102,5.8538333333333336E7,6.3613333333333336E7,6.518E7,6.5738333333333336E7,6.5136666666666664E7,7.163833333333333E7,6.4206666666666664E7
103,5.9935E7,6.1911666666666664E7,6.272E7,6.3908333333333336E7,6.2231666666666664E7,7.072833333333333E7,6.4206666666666664E7
104,6.0161666666666664E7,6.1871666666666664E7,6.2923333333333336E7,6.3536666666666664E7,6.5635E7,7.186166666666667E7,6.4206666666666664E7
105,5.9355E7,6.379E7,6.4766666666666664E7,6.414E7,6.2338333333333336E7,7.209833333333333E7,6.4206666666666664E7
106,6.2456666666666664E7,6.165E7,6.43E7,6.3355E7,6.2101666666666664E7,6.984E7,6.4206666666666664E7
107,6.0368333333333336E7,5.9656666666666664E7,6.2666666666666664E7,6.268E7,6.3833333333333336E7,7.254333333333333E7,6.4206666666666664E7
108,5.8393333333333336E7,6.0886666666666664E7,6.19E7,6.5725E7,6.3606666666666664E7,7.1615E7,6.4206666666666664E7
109,5.389E7,5.9616666666666664E7,6.071E7,6.3965E7,6.163E7,7.257333333333333E7,6.3903333333333336E7
110,5.7498333333333336E7,5.988E7,6.1733333333333336E7,6.279E7,6.0731666666666664E7,7.185166666666667E7,6.3871666666666664E7
111,5.7531666666666664E7,5.8473333333333336E7,6.0568333333333336E7,6.3988333333333336E7,6.2631666666666664E7,7.1165E7,6.3871666666666664E7
112,5.54E7,5.8968333333333336E7,5.9155E7,6.1701666666666664E7,6.373E7,7.004E7,6.3871666666666664E7
113,5.5481666666666664E7,5.947E7,6.0256666666666664E7,6.3016666666666664E7,6.0055E7,7.026333333333333E7,6.3275E7
114,5.5493333333333336E7,5.6751666666666664E7,6.1193333333333336E7,6.3441666666666664E7,5.9546666666666664E7,6.9335E7,6.2688333333333336E7
115,5.3986666666666664E7,5.6786666666666664E7,5.8733333333333336E7,6.1096666666666664E7,6.1576666666666664E7,7.0515E7,6.2688333333333336E7
116,5.226E7,5.559E7,6.1303333333333336E7,6.3766666666666664E7,6.0673333333333336E7,6.9715E7,6.2403333333333336E7
117,5.2908333333333336E7,5.3676666666666664E7,5.9058333333333336E7,5.9811666666666664E7,1.2070833333333333E8,6.5981666666666664E7,6.2388333333333336E7
118,5.3765E7,5.438E7,5.9023333333333336E7,6.273E7,5.9658333333333336E7,7.091833333333333E7,6.2325E7
119,5.163E7,5.5591666666666664E7,5.767E7,6.1935E7,6.0395E7,6.980833333333333E7,6.1738333333333336E7
120,4.964E7,5.2585E7,5.7828333333333336E7,6.2751666666666664E7,6.1886666666666664E7,6.907333333333333E7,6.1196666666666664E7
121,4.9896666666666664E7,5.6058333333333336E7,5.8761666666666664E7,5.7043333333333336E7,6.1296666666666664E7,6.935333333333333E7,6.091E7
122,4.8533333333333336E7,5.5093333333333336E7,5.7368333333333336E7,5.7578333333333336E7,6.1001666666666664E7,6.891833333333333E7,6.0608333333333336E7
123,4.8716666666666664E7,5.3776666666666664E7,5.7883333333333336E7,5.7971666666666664E7,6.3676666666666664E7,6.820833333333333E7,6.007E7
124,4.9513333333333336E7,5.1721666666666664E7,5.4996666666666664E7,5.6758333333333336E7,5.9776666666666664E7,6.718333333333333E7,5.948E7
125,5.0201666666666664E7,5.5095E7,5.5725E7,5.7626666666666664E7,5.9668333333333336E7,6.6313333333333336E7,5.9193333333333336E7
126,5.03E7,5.1871666666666664E7,5.4853333333333336E7,5.7161666666666664E7,5.92E7,6.6398333333333336E7,5.9193333333333336E7
127,4.7793333333333336E7,5.2735E7,1.058E8,5.8353333333333336E7,6.0608333333333336E7,6.789833333333333E7,5.9193333333333336E7
128,4.6681666666666664E7,5.228E7,5.441E7,5.5286666666666664E7,5.8058333333333336E7,6.5421666666666664E7,5.9193333333333336E7
129,4.679E7,5.1396666666666664E7,5.394E7,5.4933333333333336E7,6.0675E7,6.6946666666666664E7,5.9193333333333336E7
130,4.702E7,5.2436666666666664E7,5.1708333333333336E7,5.7673333333333336E7,5.7163333333333336E7,6.763833333333333E7,5.9193333333333336E7
131,4.7183333333333336E7,5.0671666666666664E7,5.3985E7,5.8176666666666664E7,5.8001666666666664E7,6.5426666666666664E7,5.9193333333333336E7
132,4.675E7,5.0525E7,5.2196666666666664E7,5.4365E7,5.712E7,6.6638333333333336E7,5.9193333333333336E7
133,4.4913333333333336E7,5.1193333333333336E7,5.2711666666666664E7,5.506E7,5.711E7,6.5378333333333336E7,5.9193333333333336E7
134,4.6581666666666664E7,5.2731666666666664E7,5.1178333333333336E7,5.3775E7,5.7356666666666664E7,6.5203333333333336E7,5.9193333333333336E7
135,4.5135E7,5.2085E7,5.0586666666666664E7,5.2E7,5.8013333333333336E7,6.4893333333333336E7,5.9193333333333336E7
136,4.5801666666666664E7,5.0551666666666664E7,5.0628333333333336E7,5.577E7,5.546E7,6.443E7,5.9193333333333336E7
137,4.5258333333333336E7,5.3645E7,5.207E7,5.4855E7,5.7086666666666664E7,6.5401666666666664E7,5.9193333333333336E7
138,4.5805E7,5.1528333333333336E7,5.1078333333333336E7,5.3326666666666664E7,5.5991666666666664E7,6.5451666666666664E7,5.9193333333333336E7
139,4.693E7,5.0696666666666664E7,5.0366666666666664E7,5.5941666666666664E7,5.562E7,6.4276666666666664E7,5.9193333333333336E7
140,4.5331666666666664E7,4.9323333333333336E7,5.0516666666666664E7,5.2146666666666664E7,5.5055E7,6.3931666666666664E7,5.9193333333333336E7
141,4.4756666666666664E7,4.9615E7,5.2015E7,5.3588333333333336E7,5.5483333333333336E7,6.6338333333333336E7,5.9193333333333336E7
142,4.4573333333333336E7,4.8225E7,4.9691666666666664E7,5.163E7,5.4895E7,6.4898333333333336E7,5.9193333333333336E7
143,4.289E7,4.9985E7,5.1903333333333336E7,5.3081666666666664E7,5.483E7,6.2658333333333336E7,5.9193333333333336E7
144,4.4805E7,5.2271666666666664E7,4.8833333333333336E7,5.4033333333333336E7,5.4971666666666664E7,6.2636666666666664E7,5.9193333333333336E7
145,4.494E7,4.8506666666666664E7,5.1765E7,5.116E7,5.4153333333333336E7,6.2528333333333336E7,5.9193333333333336E7
146,4.5036666666666664E7,4.7605E7,5.045E7,5.0898333333333336E7,5.365E7,6.0866666666666664E7,5.9193333333333336E7
147,4.3748333333333336E7,4.7085E7,4.8638333333333336E7,5.1378333333333336E7,5.389E7,6.0571666666666664E7,5.9193333333333336E7
